productType,categories,variantId,sku,key,slug.en,brand,name.en,metaTitle.en,metaDescription.en,metaKeywords.en,description.en,age-range,prices,images
main,Toys>Mobile toys,1,MT3,MT3,MT3,trousselier,Musical play mat Tapis d'Eveil,,,,"A wonderful French-style and extremely soft musical toddler play mat from Trousselier.

The ivory coloured educational mat with pink detailing and lots of educational and stimulating activities for your little one - flowers, a rabbit, a sheep, which they can touch and feel the textures while lying on the mat.
The mat is safe for babies and ideal for stimulating the senses - it has a rattle, different textures, hanging toys on the top and even a removable music box hidden in a cloud.

The mat can be used with or without the bows as a simple mat for babies.

Tips: Wash the fabric toys and the quilted mat at 30° in the washing machine without the spinner function. It is advisable to remove the musical toy in the cloud before putting it in the washing machine. The cloth-covered hoop can be cleaned with a damp cloth.",0-3,EUR 13900;US-USD 15300,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/mobile-toys/MT3-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/mobile-toys/MT3-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/mobile-toys/MT3-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/mobile-toys/MT3-4.jpeg
main,Toys>Soft toys,1,ST1,ST1,ST1,lesdeglingos,Activity cube Melimelos La Biche,,,,"In his playpen or on a play mat, baby can have fun with his complete and original activity cube! To throw, nibble or shake, it's guaranteed fun! This activity toy is ideal for stimulating all the senses thanks to its mirror, its rustling paper, its rattle and its teething ring.",0-3,EUR 3200;US-USD 3600,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST1-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST1-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST1-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST1-4.jpeg
main,Toys>Soft toys,1,ST2,ST2,ST2,lesdeglingos,Activity toy Jelekros Lion,,,,"A plush activity toy that is insanely cute! Thanks to all these original and colourful accessories: rattle, mirror, blotting paper, teething ring... And Jélékros will be able to accompany him on all his adventures!

Age: 0 to 18 months
A true playmate and sensory stimulator to gently discover and stimulate all the senses.",0-3,EUR 2900;US-USD 3200,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST2-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST2-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST2-3.png;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST2-4.png
main,Toys>Soft toys,1,ST3,ST3,ST3,lesdeglingos,Toy Octopus,,,,"Mommy Octopus 45cm long and her baby hiding under her head in a velcro pin.

Ideal for cuddling and creating a lot of stories.",3-6,EUR 2900;US-USD 3200,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST3-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST3-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST3-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST3-4.jpeg
main,Toys>Soft toys,1,ST4,ST4,ST4,moulinroty,Mousse handkerchief comforter,,,,"The little chambray fabric mouse is dressed in floral fabric with a delicate little collar. She carries a soft toy, made from organic cotton muslin, in her hand for baby to cuddle up to - a sweet little character made from super soft fabric. The perfect pair!",0-3,EUR 2400;US-USD 2700,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST4-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST4-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST4-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST4-4.jpeg
main,Toys>Soft toys,1,ST5,ST5,ST5,lesdeglingos,Toy Original Pomelos l'Autruche,,,,"Watch out for the tangy cocktail with this big oisos, I named Lady Pomelos!

On a basis of elegance, add a zest of madness, a touch of extravagance, a few drops of oddities then sprinkle all the funny stuff!
To consume vitos and without moderation because with it: there are no seeds!",3-6,EUR 2900;US-USD 3200,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST5-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST5-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST5-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST5-4.jpeg
main,Toys>Soft toys,1,ST6,ST6,ST6,moulinroty,Plush toy Mouni Les Schmouks,,,,"Yellow Mouni in mustard-coloured fur, his long legs dressed in cream fur trousers with brown polka-dots, pink fleece shoes and a little black felt hat for a look that's totally loopy.
Machine washable at 30°C on wool cycle. No tumble dry.",6-12,EUR 4200;US-USD 4700,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST6-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST6-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST6-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST6-4.jpeg
main,Toys>Soft toys,1,ST7,ST7,ST7,moulinroty,Plush toy Pidou Les Schmouks,,,,"Pidou in orange fleece, amusingly comical with his big nose in fur fabric and his tousled hair. Wearing a blue and white striped jersey T-shirt and little boots in mustard-coloured fur for a look that's totally laid-back!
Machine washable at 30°C on wool cycle. No tumble dry.",6-12,EUR 4500;US-USD 5000,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST7-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST7-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST7-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST7-4.jpeg
main,Toys>Soft toys,1,ST8,ST8,ST8,moulinroty,Plush toy Choukette Les Schmouks,,,,"Choukette, a little bundle of long blue hair that's totally messed up. Comical and mischievous he is totally in line with the wonderfully eccentric style of all the other Schmouks.",6-12,EUR 3200;US-USD 3600,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST8-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST8-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST8-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST8-4.jpeg
main,Toys>Soft toys,1,ST9,ST9,ST9,lesdeglingos,Activity cube Speculos Le Tigre,,,,"In his playpen or on a play mat, baby can have fun with his complete and original activity cube! To throw, nibble or shake, it's guaranteed fun! This activity toy is ideal for stimulating all the senses thanks to its mirror, its rustling paper, its rattle and etc.

Little extra: Recycled polyester padding",0-3,EUR 3200;US-USD 3600,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST9-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST9-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST9-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST9-4.jpeg
main,Toys>Soft toys,1,ST10,ST10,ST10,lesdeglingos,Activity cube Chillos le Paresseux,,,,"In his playpen or on a play mat, baby can have fun with his complete and original activity cube! To throw, nibble or shake, it's guaranteed fun! This activity toy is ideal for stimulating all the senses thanks to its mirror, its rustling paper, its rattle and etc.

Little extra: Recycled polyester padding",0-3,EUR 3200;US-USD 3600,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST10-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST10-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST10-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/soft-toys/ST10-4.jpeg
main,Toys>Wooden toys,1,WT1,WT1,WT1,moulinroty,Caravan La Grande Famille,,,,"Moulin Roty's big family has decided to go on holiday with its caravan and they plan it all! This lovely wooden toy is composed by a vehicle (19 cm long) and inside it includes everything you need: a bed, a dining table with two chairs, fixed parasol and a oven with hob. The roof of the cabin can be removed and the door can be opened. So colorful, the caravan is decorated with pennants, flowers, awning, lamp, while red and white checkered curtains hang in the window.

Suitable for children 3+ years, it is the ideal dimension for their little hands. Perfect to invent stories.

Every Moulin Roty toy is tested and approved in compliance with the European standard NF-EN71 concerning flammability and migration of heavy metals. 

Any plastic part is tested to make sure that is pthalate-free while the textile are tested to be free from any substance which could be a problem for baby's skin.

The wood, especially beechwood, comes from sustainable forests

The dyes are tested and non-toxic",3-6,EUR 4600;US-USD 5100,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/wooden-toys/WT1-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/wooden-toys/WT1-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/wooden-toys/WT1-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/wooden-toys/WT1-4.jpeg
main,Toys>Wooden toys,1,WT2,WT2,WT2,moulinroty,Tree house La Grande Famille,,,,"So many stories to tell with this tree house of the La grande famille collection created by Moulin Roty! The nature-decorated wooden house in light, solid wood is located on a tree with spiral staircase. And more: the toy includes a swing, rope ladder, bridge from tree to cabin and a lovely dining area with table, chairs and parasol. Your characters will enjoy a lot in this two floors! And at the top the roof is partially open for a telescope!

Ideal for kids from 3 years, it has rounded edges and the dimension is ideal for little hands. Perfect to encourage to tell stories.

Every Moulin Roty toy is tested and approved in compliance with the European standard NF-EN71 concerning flammability and migration of heavy metals. 

Any plastic part is tested to make sure that is pthalate-free while the textile are tested to be free from any substance which could be a problem for baby's skin.

The wood, especially beechwood, comes from sustainable forests

The dyes are tested and non-toxic",3-6,EUR 11900;US-USD 13100,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/wooden-toys/WT2-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/wooden-toys/WT2-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/wooden-toys/WT2-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/wooden-toys/WT2-4.jpeg
main,Toys>Wooden toys,1,WT3,WT3,WT3,moulinroty,Car La Grande Famille,,,,"Julius the dog need to rest. Go on adventure with this lovely car created by Moulin Roty! It includes a practical suitcase in the trunk. Let's go!

This lovely wooden toy includes a vehicle (14 cm long), a driver and a suitcase. Suitable from 3 years, it is perfect to stimulate fine motor skills and to invent stories.

Every Moulin Roty toy is tested and approved in compliance with the European standard NF-EN71 concerning flammability and migration of heavy metals. 

Any plastic part is tested to make sure that is pthalate-free while the textile are tested to be free from any substance which could be a problem for baby's skin.

The wood, especially beechwood, comes from sustainable forests

The dyes are tested and non-toxic",3-6,EUR 2600;US-USD 2900,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/wooden-toys/WT3-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/wooden-toys/WT3-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/wooden-toys/WT3-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/wooden-toys/WT3-4.jpeg
main,Toys>Wooden toys,1,WT4,WT4,WT4,moulinroty,Ice cream delivery tricycle La Grande Famille,,,,"It's summer, it's hot, and Nini the mouse has made ice creams for the Grande Famille as a special treat. This wooden set comprises Nini, a parasol, 4 ice creams and an ice cream bike, which opens to keep the ice creams cold!

Washable with a soft and damp cloth.",3-6,EUR 2600;US-USD 2900,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/wooden-toys/WT4-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/wooden-toys/WT4-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/wooden-toys/WT4-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/wooden-toys/WT4-4.jpeg
main,Toys>Educational toys,1,ET1,ET1,ET1,leoetlea,"Star Stacker, Shell collection",,,,"Novelty! The 'Star Stacker' perfectly matched with the colors of the 'Shell Collection'.

The 'Star Stacker' is the essential toy in baby's world. Stacking stars help children develop motor and cognitive skills while having fun.

Easy to handle, the Star Stacker is a silicone toy - free from plastic and unwanted substances.

Healthy and hygienic, it awakens and stimulates baby's senses gently and very pleasant to the touch.",0-3,EUR 2900;US-USD 3200,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/educational-toys/ET1-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/educational-toys/ET1-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/educational-toys/ET1-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/educational-toys/ET1-4.jpeg
main,Toys>Educational toys,1,ET2,ET2,ET2,louiseetgabrielclemence,La Boite a Formes,,,,"It develops fine motor skills and touch with simple and textured shapes. In a healthy and soft material, it is entirely made of silicone with food grade. This durable and practical material can go in the dishwasher! Designed in a single block, this shape box contains no glue or screws for more security.


It has an opening in the back that allows children to play completely independently by easily recovering the pieces. The openings on the sides can make it easier for children to carry it.",0-3,EUR 4400;US-USD 4900,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/educational-toys/ET2-1.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/educational-toys/ET2-2.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/educational-toys/ET2-3.jpeg;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/educational-toys/ET2-4.jpeg
main,Toys>Educational toys,1,ET3,ET3,ET3,moulinroty,DIY suitcase La Grande Famille,,,,"Nini the pretty little mouse, Sylvain the cheeky rabbit, Blanche, a graceful and charming doe — this joyous band has got together to delight the little ones!

Just like the grown-ups! 1 pencil and 7 colourful, rounded tools easy for little hands to grasp! All carefully held in place with velcro and latches in a superb illustrated wooden case: ready to carry anywhere!
Washable with a soft and damp cloth.",6-12,EUR 4400;US-USD 4900,https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/educational-toys/ET3-1.webp;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/educational-toys/ET3-2.webp;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/educational-toys/ET3-3.webp;https://raw.githubusercontent.com/haslie22/kiddo-kingdom-data/data/images/toys/educational-toys/ET3-4.webp
